"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","9","5"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","16","15"
"comm_confirm_grp[1]/comm_details","1","31"
"comm_confirm_grp[1]/comm_confirm","1","31"
"u5_iden_grp[1]/u5_id","238","32"
"u5_iden_grp[1]/u5_fullname","238","32"
"u5_iden_grp[1]/u5_age","238","32"
"u5_iden_grp[1]/u5_ct_id","238","32"
"u5_iden_grp[1]/u5_ct_fullname","238","32"
"gm1_a","5","270"
"gmobs1","1","275"
"gmobs2","1","276"
"an8","31","277"
"an9","8","304"
"an11_grp[1]/an11_b","18","307"
"an11_grp[1]/an11","18","307"
"an12","3","334"
"an13","9","337"
"an15","2","347"
