"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","59","3"
"enum_confirm_grp[1]/enum_details","1","62"
"enum_confirm_grp[1]/enum_confirm","1","62"
"community_id","6","63"
"comm_confirm_grp[1]/comm_details","1","69"
"comm_confirm_grp[1]/comm_confirm","1","69"
"u5_iden_grp[1]/u5_id","70","70"
"u5_iden_grp[1]/u5_fullname","70","70"
"u5_iden_grp[1]/u5_age","70","70"
"u5_iden_grp[1]/u5_ct_id","70","70"
"u5_iden_grp[1]/u5_ct_fullname","70","70"
"uf9","6","140"
"consent_grp[1]/consent","2","146"
"consented_grp[1]/ub0","1","148"
"consented_grp[1]/ub1_age_sel","3","149"
"consented_grp[1]/ub1_dob_dmy","22","152"
"consented_grp[1]/ub5","2","174"
"consented_grp[1]/ub8b","10","176"
"consented_grp[1]/ub9","13","185"
"consented_grp[1]/br1","4","198"
"consented_grp[1]/ec1","17","203"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","73","220"
"consented_grp[1]/ec2_grp[1]/ec2_label","73","220"
"consented_grp[1]/ec2_grp[1]/ec2a","73","220"
"consented_grp[1]/ec2_grp[1]/ec2b","73","220"
"consented_grp[1]/ec2_grp[1]/ec2c","73","220"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","94","291"
"consented_grp[1]/ec3_grp[1]/ec3a","94","291"
"consented_grp[1]/ec3_grp[1]/ec3b","94","291"
"consented_grp[1]/ec5_grp[1]/ec5","101","387"
"consented_grp[1]/ec5_grp[1]/ec5_label","101","387"
"consented_grp[1]/ec5_grp[1]/ec5a","101","387"
"consented_grp[1]/ec5_grp[1]/ec5b","101","387"
"consented_grp[1]/ec5_grp[1]/ec5c","101","387"
"consented_grp[1]/ec5_grp[1]/ec5d","101","387"
"consented_grp[1]/ec5_grp[1]/ec5e","101","387"
"consented_grp[1]/ec5_grp[1]/ec5f","101","387"
"consented_grp[1]/ec6_grp[1]/ec6_note","60","487"
"consented_grp[1]/ec6_grp[1]/ec6","60","487"
"consented_grp[1]/ec7","10","547"
"consented_grp[1]/ec8","6","557"
"consented_grp[1]/ec9","11","564"
"consented_grp[1]/ec10","12","575"
"consented_grp[1]/ec11","14","586"
"consented_grp[1]/ec12","13","600"
"consented_grp[1]/ec13","9","613"
"consented_grp[1]/ec14","10","622"
"consented_grp[1]/ec15","14","633"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","155","647"
"consented_grp[1]/ucd2_grp[1]/ucd2a","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2b","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2c","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2d","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2e","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2f","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2g","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2h","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2i","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2j","155","647"
"consented_grp[1]/ucd2_grp[1]/ucb2k","155","647"
"consented_grp[1]/ucd3","25","802"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","27","826"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","27","826"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","27","826"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","27","826"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","27","826"
"consented_grp[1]/ucf_grp[1]/ucf5","12","853"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","865"
"consented_grp[1]/ucf_grp[1]/ucf9b","4","870"
"consented_grp[1]/ucf_grp[1]/ucf13","2","873"
"consented_grp[1]/ucf_grp[1]/ucf14","14","875"
"consented_grp[1]/ucf_grp[1]/ucf15","7","889"
"consented_grp[1]/ucf_grp[1]/ucf16","12","896"
"consented_grp[1]/ucf_grp[1]/ucf17","17","904"
"consented_grp[1]/ucf_grp[1]/ucf18","9","925"
"consented_grp[1]/ucf_grp[1]/ucf19","36","934"
"consented_grp[1]/im2","17","970"
"consented_grp[1]/im5","6","987"
"consented_grp[1]/im6_note","2","993"
"consented_grp[1]/im6_rpt[1]/im6","4","995"
"consented_grp[1]/im6_rpt[1]/im6a","16","999"
"consented_grp[1]/im6_rpt[2]/im6","3","1015"
"consented_grp[1]/im6_rpt[2]/im6a","9","1018"
"consented_grp[1]/im6_rpt[3]/im6","2","1027"
"consented_grp[1]/im6_rpt[3]/im6a","8","1029"
"consented_grp[1]/im6_rpt[4]/im6","2","1036"
"consented_grp[1]/im6_rpt[4]/im6a","7","1039"
"consented_grp[1]/im6_rpt[5]/im6","2","1046"
"consented_grp[1]/im6_rpt[5]/im6a","9","1048"
"consented_grp[1]/im6_rpt[6]/im6","2","1056"
"consented_grp[1]/im6_rpt[6]/im6a","9","1059"
"consented_grp[1]/im6_rpt[7]/im6","2","1067"
"consented_grp[1]/im6_rpt[7]/im6a","18","1069"
"consented_grp[1]/im6_rpt[8]/im6","2","1087"
"consented_grp[1]/im6_rpt[8]/im6a","7","1089"
"consented_grp[1]/im6_rpt[9]/im6","4","1096"
"consented_grp[1]/im6_rpt[9]/im6a","7","1100"
"consented_grp[1]/im6_rpt[10]/im6","2","1107"
"consented_grp[1]/im6_rpt[10]/im6a","12","1109"
"consented_grp[1]/im6_rpt[11]/im6","2","1120"
"consented_grp[1]/im6_rpt[11]/im6a","25","1122"
"consented_grp[1]/im6_rpt[12]/im6","2","1148"
"consented_grp[1]/im6_rpt[12]/im6a","8","1150"
"consented_grp[1]/im6_rpt[13]/im6","2","1158"
"consented_grp[1]/im6_rpt[13]/im6a","6","1160"
"consented_grp[1]/im6_rpt[14]/im6","3","1166"
"consented_grp[1]/im6_rpt[14]/im6a","19","1169"
"consented_grp[1]/im6_rpt[15]/im6","3","1188"
"consented_grp[1]/im6_rpt[15]/im6a","15","1191"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","32","1206"
"consented_grp[1]/im8_im27_grp[1]/im9","18","1238"
"consented_grp[1]/ca1","13","1257"
"consented_grp[1]/ca14","9","1270"
"consented_grp[1]/ca16","5","1279"
"consented_grp[1]/ca17","18","1285"
"comments","6","1298"
