"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","6","13"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"u5_iden_grp[1]/u5_id","87","21"
"u5_iden_grp[1]/u5_fullname","87","21"
"u5_iden_grp[1]/u5_age","87","21"
"u5_iden_grp[1]/u5_ct_id","87","21"
"u5_iden_grp[1]/u5_ct_fullname","87","21"
"gm1_a","2","108"
"gmobs1","3","110"
"gmobs2","2","112"
"an8","6","114"
"an9","2","120"
"an11_grp[1]/an11_b","7","122"
"an11_grp[1]/an11","7","122"
"an12","2","128"
"an13","15","130"
"an15","2","145"
