"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","9","2"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","6","12"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","105","20"
"u5_iden_grp[1]/u5_fullname","105","20"
"u5_iden_grp[1]/u5_age","105","20"
"u5_iden_grp[1]/u5_ct_id","105","20"
"u5_iden_grp[1]/u5_ct_fullname","105","20"
"gm1_a","13","125"
"gm1_b","2","138"
"gm2_rpt[1]/gm2_grp[1]/gm3","1","141"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","142"
"gm2_rpt[1]/gm2_grp[1]/gm5","2","144"
"gm2_rpt[1]/gm2_grp[1]/gm6","8","145"
"gm2_rpt[1]/gm2_grp[1]/gm7","9","147"
"gmobs1","7","163"
"gmobs2","6","170"
"an8","7","176"
"an9","4","184"
"an11_grp[1]/an11_a","7","188"
"an11_grp[1]/an11","7","188"
"an12","3","195"
"an13","7","198"
"an15","1","205"
