"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","5","4"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","16","10"
"comm_confirm_grp[1]/comm_details","1","26"
"comm_confirm_grp[1]/comm_confirm","1","26"
"iw_iden_grp[1]/iw_id","40","28"
"iw_iden_grp[1]/iw_fullname","40","28"
"iw_iden_grp[1]/iw_age","40","28"
"wm8","1","68"
"wm9_grp[1]/wm9b","2","69"
"wm9_grp[1]/consent","2","69"
"consented_grp[1]/wb3_age_sel","3","71"
"consented_grp[1]/wb3_dob_dmy","16","74"
"consented_grp[1]/wb5","2","89"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","91"
"consented_grp[1]/wb14_grp[1]/wb14","4","91"
"consented_grp[1]/wb15","10","95"
"consented_grp[1]/wb18","13","105"
"consented_grp[1]/mt1","3","117"
"consented_grp[1]/mt2","6","120"
"consented_grp[1]/mt3","3","126"
"consented_grp[1]/mt4","2","129"
"consented_grp[1]/mt9","2","131"
"consented_grp[1]/mt11","4","133"
"consented_grp[1]/mt12","4","137"
"consented_grp[1]/cm1","3","141"
"consented_grp[1]/cm2","27","144"
"consented_grp[1]/cm2_grp[1]/cm3","8","170"
"consented_grp[1]/cm2_grp[1]/cm4","8","170"
"consented_grp[1]/cm5","2","178"
"consented_grp[1]/cm5_grp[1]/cm6","39","180"
"consented_grp[1]/cm5_grp[1]/cm7","39","180"
"consented_grp[1]/cm8","2","219"
"consented_grp[1]/cm12","2","221"
"consented_grp[1]/bh0","1","223"
"consented_grp[1]/bh_rpt[1]/bh1","15","224"
"consented_grp[1]/bh_rpt[1]/bh2","3","240"
"consented_grp[1]/bh_rpt[1]/bh3","2","242"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","244"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","13","246"
"consented_grp[1]/bh_rpt[1]/bh5","2","259"
"consented_grp[1]/bh_rpt[1]/bh6","6","261"
"consented_grp[1]/bh_rpt[1]/bh7","2","267"
"consented_grp[1]/bh_rpt[1]/bh8","5","268"
"consented_grp[1]/bh_rpt[1]/bh10","2","274"
"consented_grp[1]/bh_rpt[2]/bh1","24","276"
"consented_grp[1]/bh_rpt[2]/bh2","4","300"
"consented_grp[1]/bh_rpt[2]/bh3","5","302"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","304"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","2","305"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","20","314"
"consented_grp[1]/bh_rpt[2]/bh5","3","334"
