"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","102","2"
"enum_confirm_grp[1]/enum_details","1","104"
"enum_confirm_grp[1]/enum_confirm","1","104"
"community_id","6","106"
"comm_confirm_grp[1]/comm_details","1","112"
"comm_confirm_grp[1]/comm_confirm","1","112"
"u5_iden_grp[1]/u5_id","154","113"
"u5_iden_grp[1]/u5_fullname","154","113"
"u5_iden_grp[1]/u5_age","154","113"
"u5_iden_grp[1]/u5_ct_id","154","113"
"u5_iden_grp[1]/u5_ct_fullname","154","113"
"gm1_a","5","267"
"gmobs1","5","273"
"gmobs2","1","278"
"an8","6","279"
"an9","4","285"
"an11_grp[1]/an11_b","7","289"
"an11_grp[1]/an11","7","289"
"an12","31","296"
"an13","1","327"
"an15","1","328"
