"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","10","3"
"enum_confirm_grp[1]/enum_details","2","14"
"enum_confirm_grp[1]/enum_confirm","2","14"
"community_id","8","16"
"comm_confirm_grp[1]/comm_details","6","24"
"comm_confirm_grp[1]/comm_confirm","6","24"
"iw_iden_grp[1]/iw_id","61","30"
"iw_iden_grp[1]/iw_fullname","61","30"
"iw_iden_grp[1]/iw_age","61","30"
"wm8","3","91"
"wm9_grp[1]/wm9b","6","94"
"wm9_grp[1]/consent","6","94"
"consented_grp[1]/wb3_age_sel","11","100"
"consented_grp[1]/wb4_age_est","4","111"
"consented_grp[1]/wb5","7","115"
"consented_grp[1]/wb14_grp[1]/wb14_note","14","122"
"consented_grp[1]/wb14_grp[1]/wb14","14","122"
"consented_grp[1]/wb15","132","135"
"consented_grp[1]/wb16_grp[1]/wb16a","26","268"
"consented_grp[1]/wb16_grp[1]/wb16_note","26","268"
"consented_grp[1]/wb16_grp[1]/wb16b","26","268"
"consented_grp[1]/wb17a","10","294"
"consented_grp[1]/wb17b","6","303"
"consented_grp[1]/wb18","11","310"
"consented_grp[1]/mt1","12","321"
"consented_grp[1]/mt2","23","334"
"consented_grp[1]/mt3","10","357"
"consented_grp[1]/mt4","9","367"
"consented_grp[1]/mt9","14","376"
"consented_grp[1]/mt11","7","390"
"consented_grp[1]/mt12","27","396"
"consented_grp[1]/cm1","58","423"
"consented_grp[1]/cm2","11","481"
"consented_grp[1]/cm2_grp[1]/cm3","26","492"
"consented_grp[1]/cm2_grp[1]/cm4","26","492"
"consented_grp[1]/cm5","14","518"
"consented_grp[1]/cm5_grp[1]/cm6","21","531"
"consented_grp[1]/cm5_grp[1]/cm7","21","531"
"consented_grp[1]/cm8","64","553"
"consented_grp[1]/cm12","14","617"
"consented_grp[1]/bh0","5","631"
"consented_grp[1]/bh_rpt[1]/bh1","60","636"
"consented_grp[1]/bh_rpt[1]/bh2","7","688"
"consented_grp[1]/bh_rpt[1]/bh3","10","691"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","135","696"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","27","848"
"consented_grp[1]/bh_rpt[1]/bh5","3","876"
"consented_grp[1]/bh_rpt[1]/bh6","11","879"
"consented_grp[1]/bh_rpt[1]/bh7","19","889"
"consented_grp[1]/bh_rpt[1]/bh10","4","908"
"consented_grp[1]/bh_rpt[2]/bh1","46","912"
"consented_grp[1]/bh_rpt[2]/bh2","7","947"
"consented_grp[1]/bh_rpt[2]/bh3","3","965"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","8","968"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","49","976"
"consented_grp[1]/bh_rpt[2]/bh5","3","1025"
"consented_grp[1]/bh_rpt[2]/bh6","6","1028"
"consented_grp[1]/bh_rpt[2]/bh7","7","1034"
"consented_grp[1]/bh_rpt[2]/bh8","29","1041"
"consented_grp[1]/bh_rpt[2]/bh10","6","1070"
"consented_grp[1]/bh_rpt[3]/bh1","6","1076"
"consented_grp[1]/bh_rpt[3]/bh2","4","1082"
"consented_grp[1]/bh_rpt[3]/bh3","5","1086"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","5","1091"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","21","1096"
"consented_grp[1]/bh_rpt[3]/bh5","4","1117"
"consented_grp[1]/bh_rpt[3]/bh6","5","1121"
"consented_grp[1]/bh_rpt[3]/bh7","7","1125"
"consented_grp[1]/bh_rpt[3]/bh8","15","1132"
"consented_grp[1]/bh_rpt[3]/bh10","4","1147"
"consented_grp[1]/bh_rpt[4]/bh1","15","1152"
"consented_grp[1]/bh_rpt[4]/bh2","4","1166"
"consented_grp[1]/bh_rpt[4]/bh3","3","1170"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","6","1173"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","25","1179"
"consented_grp[1]/bh_rpt[4]/bh5","3","1204"
"consented_grp[1]/bh_rpt[4]/bh6","4","1206"
"consented_grp[1]/bh_rpt[4]/bh7","3","1210"
"consented_grp[1]/bh_rpt[4]/bh8","21","1213"
"consented_grp[1]/bh_rpt[4]/bh10","5","1234"
"consented_grp[1]/db2","15","1240"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","12","1254"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","36","1267"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","27","1303"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","27","1303"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","81","1330"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","41","1410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","41","1410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","41","1410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","41","1410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","41","1410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","176","1452"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","24","1628"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","24","1644"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","30","1657"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","15","1705"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","6","1720"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","13","1725"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","14","1738"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","19","1752"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","10","1770"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","18","1780"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","21","1799"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","24","1820"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","38","1844"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","33","1859"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","31","1916"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","17","1945"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","31","1958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","31","1958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","16","1996"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","7","2011"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","31","2018"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","31","2018"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","22","2049"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","25","2071"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","49","2096"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","49","2096"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","31","2145"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","31","2145"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","18","2175"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","18","2175"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","27","2194"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","27","2194"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn12","20","2214"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13b","11","2240"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13_units","11","2240"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","19","2251"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21","9","2270"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn21a","19","2279"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn22_units","19","2279"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn23","34","2298"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn24","30","2332"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","39","2362"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","39","2362"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","39","2362"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","39","2362"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","39","2362"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","15","2401"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","19","2410"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","21","2435"
"consented_grp[1]/cp1_grp[1]/cp1_note","8","2457"
"consented_grp[1]/cp1_grp[1]/cp1","8","2457"
"consented_grp[1]/cp2_grp[1]/cp2_note","11","2464"
"consented_grp[1]/cp2_grp[1]/cp2","11","2464"
"consented_grp[1]/cp4","12","2476"
"consented_grp[1]/un7","21","2487"
"consented_grp[1]/un8_grp[1]/un8","21","2508"
"consented_grp[1]/un8_grp[1]/un8_units","21","2508"
"consented_grp[1]/ma1","10","2529"
"consented_grp[1]/ma2","23","2539"
"consented_grp[1]/ma3","23","2562"
"consented_grp[1]/ma7","12","2585"
