"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","30","3"
"enum_confirm_grp[1]/enum_details","1","33"
"enum_confirm_grp[1]/enum_confirm","1","33"
"community_id","24","35"
"comm_confirm_grp[1]/comm_details","3","58"
"comm_confirm_grp[1]/comm_confirm","3","58"
"u5_iden_grp[1]/u5_id","115","62"
"u5_iden_grp[1]/u5_fullname","115","62"
"u5_iden_grp[1]/u5_age","115","62"
"u5_iden_grp[1]/u5_ct_id","115","62"
"u5_iden_grp[1]/u5_ct_fullname","115","62"
"gm1_a","2","177"
"gmobs1","2","179"
"gmobs2","2","181"
"an8","11","183"
"an9","3","193"
"an11_grp[1]/an11_b","7","196"
"an11_grp[1]/an11","7","196"
"an12","3","203"
"an13","3","206"
"an15","1","209"
