"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","9","10"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"hhid_grp[1]/hhid_instruction","10","20"
"hhid_grp[1]/hhid_struct_num","10","20"
"hhid_grp[1]/hhid_hh_num","10","20"
"hhid_confirm_grp[1]/hhid_details","2","30"
"hhid_confirm_grp[1]/hhid_confirm","2","30"
"consent_grp[1]/consent_instr","307","32"
"consent_grp[1]/consent","307","32"
"consented_grp[1]/hh_note","2","339"
"consented_grp[1]/hhm_cnt","12","341"
"consented_grp[1]/rooster_note","4","351"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","306","353"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","306","353"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","306","353"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","658"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","660"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","662"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","32","664"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","696"
"consented_grp[1]/hhm_rpt[1]/ed4","4","698"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","14","700"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","17","710"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","10","712"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","4","732"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","17","734"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","17","734"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","736"
