"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","11","9"
"comm_confirm_grp[1]/comm_details","1","20"
"comm_confirm_grp[1]/comm_confirm","1","20"
"hhid_grp[1]/hhid_instruction","4","21"
"hhid_grp[1]/hhid_struct_num","4","21"
"hhid_grp[1]/hhid_hh_num","4","21"
"hhid_confirm_grp[1]/hhid_details","1","25"
"hhid_confirm_grp[1]/hhid_confirm","1","25"
"consent_grp[1]/consent_instr","116","26"
"consent_grp[1]/consent","116","26"
"consented_grp[1]/hh_note","18","142"
"consented_grp[1]/hhm_cnt","4","160"
"consented_grp[1]/rooster_note","11","161"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","162"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","162"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","162"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","176"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","178"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","40","179"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","45","219"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","264"
"consented_grp[1]/hhm_rpt[1]/ed4","3","266"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","13","269"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","2","282"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","284"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","7","285"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","7","285"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","292"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","292"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","292"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","1","308"
