"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","11","13"
"comm_confirm_grp[1]/comm_details","2","24"
"comm_confirm_grp[1]/comm_confirm","2","24"
"u5_iden_grp[1]/u5_id","216","26"
"u5_iden_grp[1]/u5_fullname","216","26"
"u5_iden_grp[1]/u5_age","216","26"
"u5_iden_grp[1]/u5_ct_id","216","26"
"u5_iden_grp[1]/u5_ct_fullname","216","26"
"uf9","2","242"
"consent_grp[1]/consent","2","243"
"consented_grp[1]/ub0","1","245"
"consented_grp[1]/ub1_age_sel","2","246"
"consented_grp[1]/ub1_dob_dmy","19","248"
"consented_grp[1]/ub5","2","267"
"consented_grp[1]/ub6","8","269"
"consented_grp[1]/ub9","2","277"
"consented_grp[1]/br1","2","279"
"consented_grp[1]/br2","3","280"
"consented_grp[1]/br3","2","284"
"consented_grp[1]/ec1","2","285"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","6","287"
"consented_grp[1]/ec2_grp[1]/ec2_label","6","287"
"consented_grp[1]/ec2_grp[1]/ec2a","6","287"
"consented_grp[1]/ec2_grp[1]/ec2b","6","287"
"consented_grp[1]/ec2_grp[1]/ec2c","6","287"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","293"
"consented_grp[1]/ec3_grp[1]/ec3a","8","293"
"consented_grp[1]/ec3_grp[1]/ec3b","8","293"
"consented_grp[1]/ec5_grp[1]/ec5","12","301"
"consented_grp[1]/ec5_grp[1]/ec5_label","12","301"
"consented_grp[1]/ec5_grp[1]/ec5a","12","301"
"consented_grp[1]/ec5_grp[1]/ec5b","12","301"
"consented_grp[1]/ec5_grp[1]/ec5c","12","301"
"consented_grp[1]/ec5_grp[1]/ec5d","12","301"
"consented_grp[1]/ec5_grp[1]/ec5e","12","301"
"consented_grp[1]/ec5_grp[1]/ec5f","12","301"
"consented_grp[1]/ec6_grp[1]/ec6_note","4","314"
"consented_grp[1]/ec6_grp[1]/ec6","4","314"
"consented_grp[1]/ec7","2","318"
"consented_grp[1]/ec8","2","320"
"consented_grp[1]/ec9","2","322"
"consented_grp[1]/ec10","2","324"
"consented_grp[1]/ec11","2","325"
"consented_grp[1]/ec12","1","327"
"consented_grp[1]/ec13","2","329"
"consented_grp[1]/ec14","2","330"
"consented_grp[1]/ec15","2","332"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","19","335"
"consented_grp[1]/ucd2_grp[1]/ucd2a","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2b","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2c","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2d","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2e","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2f","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2g","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2h","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2i","19","335"
"consented_grp[1]/ucd2_grp[1]/ucb2j","19","335"
"consented_grp[1]/ucd3","2","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","7","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","7","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","7","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","7","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","7","355"
"consented_grp[1]/ucf_grp[1]/ucf5","2","362"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","364"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","365"
"consented_grp[1]/ucf_grp[1]/ucf13","1","366"
"consented_grp[1]/ucf_grp[1]/ucf14","3","367"
"consented_grp[1]/ucf_grp[1]/ucf15","1","370"
"consented_grp[1]/ucf_grp[1]/ucf16","1","371"
"consented_grp[1]/ucf_grp[1]/ucf17","3","373"
"consented_grp[1]/ucf_grp[1]/ucf18","1","375"
"consented_grp[1]/ucf_grp[1]/ucf19","4","377"
"consented_grp[1]/im2","2","381"
"consented_grp[1]/im5","1","382"
"consented_grp[1]/im6_note","1","384"
"consented_grp[1]/im6_rpt[1]/im6","4","385"
